run_id,final_sharing_rate,final_superego,final_anxiety,final_temple_wealth
0,0.86,99.57987301587302,0.008505715337259188,227.43565287669935
1,1.0,99.16533333333332,0.006244030160390292,133.9847043367886
2,0.93,99.66971428571429,0.005995469896997448,338.0294125722544
3,0.95,99.68333333333334,0.00417905,277.50782188148054
4,1.0,99.69733333333333,0.005218481975543059,114.26905013317803
5,0.93,99.68666666666668,0.0080157187352845,759.3423336004216
6,0.99,99.7,0.00147958713715,593.0854829513627
7,0.96,99.696,0.005326150608378483,418.15597312146264
8,1.0,99.19200000000001,0.006350890691795567,140.6468716017385
9,1.0,99.2,0.002703457788782635,154.0898780144685
10,0.96,99.7,0.005063786428771934,543.0924390424767
11,0.99,99.69233333333334,0.004963084708352009,372.6967428214605
12,0.07,1.1416962662979195,0.3246769095764407,64.28115738419285
13,0.96,99.67666666666668,0.005981281772092634,311.80485558659296
14,0.94,99.69066666666667,0.007578591095332911,323.41809321819767
15,0.96,99.69733333333333,0.005932839965069764,925.2686135531627
16,0.95,99.691,0.0033417948554560284,377.2944277384316
17,1.0,4.524053666974892,0.13363272227611653,165.8274015398011
18,1.0,99.7,0.0011709573011427054,124.34574822758948
19,0.9,99.60925396825398,0.00415,218.35724130313105
20,0.0,0.18784556437803693,0.22647884003755514,80.08711487502056
21,0.95,99.69161904761904,0.006515919598006722,456.49842914281265
22,0.96,99.68666666666668,0.005530894634942635,536.5688486510272
23,0.95,99.68700000000001,0.0041569305,385.65452312481045
24,1.0,99.2,0.0025582516199999994,170.57606274962163
25,0.95,99.7,0.007359583632590121,763.862220976576
26,0.96,99.7,0.005874934814224087,375.6182562783427
27,0.81,99.51714285714286,0.0106655415,226.97771174557298
28,1.0,99.2,0.0026733466638427968,174.26914176150527
29,0.98,99.7,0.00270128799739468,358.1623185972635
30,1.0,99.2,0.0005733903679300495,138.75001261216892
31,1.0,99.199,0.0036626084233784785,154.89919597869167
32,0.94,99.696,0.008414233161394087,602.6872458341494
33,0.96,99.69866666666667,0.0054742292490971255,415.03156420132035
34,0.96,99.696,0.004125488700306482,370.5305747027883
35,0.93,99.69733333333333,0.0070780522830991245,578.4610024646174
36,1.0,99.2,0.0029309035381038166,153.2895912705572
37,0.0,0.589,0.24085996206169477,141.7880988952495
38,0.96,99.69866666666667,0.006294543473249909,805.2390681394919
39,1.0,99.7,0.0038617376817474303,122.64338155986894
40,0.96,99.69866666666667,0.0035878673930870002,454.09217202630487
41,1.0,99.19133333333333,0.0018977982189479865,158.29647059897042
42,1.0,99.2,0.0027204757149999997,137.41906073069666
43,0.96,99.7,0.0044841124371499995,399.3229342949929
44,1.0,99.196,0.0039056000000000004,132.79965619406678
45,0.81,99.4782380952381,0.00978689096875825,210.45646361673641
46,1.0,6.59707377432829,0.16797378327462426,156.45674907800262
47,0.94,99.684,0.00428282933879767,245.7996263394025
48,0.95,99.68952380952382,0.004194418336961456,279.05335435741273
49,0.97,99.68800000000002,0.0032699806161743078,290.1607574117491
50,0.96,99.69866666666667,0.0048164378238345,528.0878375568518
51,0.92,99.67068253968255,0.0037265154329,283.9309337425186
52,0.95,99.69733333333333,0.007461638833981169,646.8912479782105
53,0.97,99.669,0.00495399517477925,328.6954376158183
54,0.0,0.162,0.25961241278200237,71.63867859124574
55,1.0,99.15933333333334,0.003907314789481936,157.6569215168061
56,1.0,99.199,0.003839716183782635,140.2479871171661
57,0.87,99.58563492063493,0.0067145590742999995,248.70342703513575
58,0.95,99.69466666666668,0.006918188659951395,648.0387265025463
59,0.97,99.69988888888889,0.0033461254863651323,338.18095480841635
60,0.98,99.7,0.0029606115769575943,440.739281587113
61,0.97,99.7,0.0042181409948445,503.356123037984
62,0.98,99.691,0.0017758309882422538,438.91574145232937
63,1.0,99.2,0.003998316324999999,168.60047843323983
64,0.82,99.5682380952381,0.010967862975402483,243.49736655013913
65,0.96,99.69733333333333,0.004212399517068773,886.2012974969197
66,0.74,99.34734920634921,0.011609531827257925,247.06028301463823
67,0.89,99.63077777777778,0.00566143525526772,239.06065955358426
68,0.0,0.144,0.36523167458188743,47.55128483283382
69,1.0,99.2,0.003433835891298506,145.68349336952596
70,0.81,99.5478888888889,0.011352151959881216,247.69690285416578
71,0.97,99.7,0.0034814396699759252,376.40103849802705
72,0.94,99.6951111111111,0.005582403911994276,393.4169017209206
